eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2020,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2021,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2000,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2001,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2002,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2003,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2004,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2005,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2006,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2007,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2008,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2009,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2010,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2011,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2012,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2013,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2014,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2015,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2016,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2017,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,AT,Austria,2018,,
